Il numero totale di giorni è 1092 e il numero di specialità è 1109, giorni spuri 0

Giorno 0, ospedale 1000300, specialità 9, ricoveri 0/11, letti occupati 0/34, coda attesa 0
Giorno 3, ospedale 1012602, specialità 9, ricoveri 0/7, letti occupati 0/32, coda attesa 0
Giorno 3, ospedale 1012602, specialità 37, ricoveri 0/0, letti occupati 0/1, coda attesa 0
Giorno 3, ospedale 1012602, specialità 64, ricoveri 0/4, letti occupati 21/65, coda attesa 0
Giorno 3, ospedale 1012602, specialità 36, ricoveri 2/11, letti occupati 6/39, coda attesa 0
Giorno 3, ospedale 1012602, specialità 26, ricoveri 3/7, letti occupati 14/61, coda attesa 0
Giorno 3, ospedale 1012602, specialità 49, ricoveri 0/1, letti occupati 0/8, coda attesa 0
Giorno 3, ospedale 1012602, specialità 32, ricoveri 0/1, letti occupati 0/3, coda attesa 0
Giorno 3, ospedale 1012602, specialità 40, ricoveri 0/0, letti occupati 0/1, coda attesa 0
Giorno 3, ospedale 1012602, specialità 8, ricoveri 0/0, letti occupati 0/1, coda attesa 0
Giorno 3, ospedale 1012602, specialità 21, ricoveri 0/3, letti occupati 5/14, coda attesa 0
Giorno 3, ospedale 1012602, specialità 60, ricoveri 0/2, letti occupati 1/11, coda attesa 0
Giorno 3, ospedale 1061000, specialità 37, ricoveri 0/3, letti occupati 0/5, coda attesa 0
Giorno 3, ospedale 1061000, specialità 36, ricoveri 1/9, letti occupati 2/17, coda attesa 0
Giorno 3, ospedale 1061000, specialità 38, ricoveri 0/5, letti occupati 0/8, coda attesa 0
Giorno 3, ospedale 1061000, specialità 9, ricoveri 0/13, letti occupati 0/26, coda attesa 0
Giorno 3, ospedale 1061000, specialità 26, ricoveri 0/4, letti occupati 2/18, coda attesa 0
Giorno 3, ospedale 1061000, specialità 64, ricoveri 0/0, letti occupati 0/1, coda attesa 0
Giorno 3, ospedale 1061000, specialità 43, ricoveri 0/3, letti occupati 0/9, coda attesa 0
Giorno 3, ospedale 1061100, specialità 56, ricoveri 0/2, letti occupati 5/29, coda attesa 0
Giorno 3, ospedale 1061100, specialità 9, ricoveri 0/7, letti occupati 0/23, coda attesa 0
Giorno 3, ospedale 1061100, specialità 30, ricoveri 0/6, letti occupati 0/14, coda attesa 0
Giorno 3, ospedale 1061100, specialità 34, ricoveri 0/15, letti occupati 0/23, coda attesa 0
Giorno 3, ospedale 1061100, specialità 8, ricoveri 3/9, letti occupati 9/28, coda attesa 0
Giorno 3, ospedale 1061100, specialità 43, ricoveri 0/12, letti occupati 0/16, coda attesa 0
Giorno 3, ospedale 1061100, specialità 7, ricoveri 0/8, letti occupati 1/17, coda attesa 0
Giorno 3, ospedale 1061100, specialità 36, ricoveri 0/14, letti occupati 0/25, coda attesa 0
Giorno 3, ospedale 1061100, specialità 26, ricoveri 0/2, letti occupati 0/9, coda attesa 0
Giorno 3, ospedale 1061200, specialità 99, ricoveri 0/12, letti occupati 0/22, coda attesa 0
Giorno 3, ospedale 1061200, specialità 26, ricoveri 0/3, letti occupati 0/11, coda attesa 0
Giorno 3, ospedale 1061200, specialità 43, ricoveri 0/7, letti occupati 0/14, coda attesa 0
Giorno 3, ospedale 1061200, specialità 38, ricoveri 0/1, letti occupati 0/7, coda attesa 0
Giorno 3, ospedale 1061200, specialità 36, ricoveri 0/5, letti occupati 0/15, coda attesa 0
Giorno 3, ospedale 1061200, specialità 9, ricoveri 0/9, letti occupati 0/12, coda attesa 0
Giorno 3, ospedale 1061200, specialità 56, ricoveri 0/4, letti occupati 5/35, coda attesa 0
Giorno 3, ospedale 1061200, specialità 37, ricoveri 0/4, letti occupati 0/6, coda attesa 0
Giorno 3, ospedale 1061200, specialità 34, ricoveri 0/3, letti occupati 0/14, coda attesa 0
Giorno 3, ospedale 1061200, specialità 32, ricoveri 0/2, letti occupati 0/11, coda attesa 0
Giorno 3, ospedale 1061400, specialità 60, ricoveri 0/2, letti occupati 1/28, coda attesa 0
Giorno 3, ospedale 1061400, specialità 56, ricoveri 0/5, letti occupati 14/76, coda attesa 0
Giorno 3, ospedale 1061400, specialità 40, ricoveri 0/1, letti occupati 0/14, coda attesa 0
Giorno 3, ospedale 1061600, specialità 56, ricoveri 0/4, letti occupati 1/26, coda attesa 0
Giorno 3, ospedale 1061600, specialità 26, ricoveri 0/1, letti occupati 0/3, coda attesa 0
Giorno 3, ospedale 1061600, specialità 36, ricoveri 0/12, letti occupati 0/23, coda attesa 0
Giorno 3, ospedale 1061600, specialità 30, ricoveri 0/6, letti occupati 0/12, coda attesa 0
Giorno 3, ospedale 1061600, specialità 14, ricoveri 0/5, letti occupati 0/16, coda attesa 0
Giorno 3, ospedale 1061700, specialità 56, ricoveri 0/10, letti occupati 11/103, coda attesa 0
Giorno 3, ospedale 1061700, specialità 40, ricoveri 0/4, letti occupati 4/25, coda attesa 0
Giorno 3, ospedale 1061700, specialità 60, ricoveri 0/3, letti occupati 10/49, coda attesa 0
Giorno 3, ospedale 1061800, specialità 43, ricoveri 0/4, letti occupati 0/15, coda attesa 0
Giorno 3, ospedale 1061800, specialità 26, ricoveri 0/2, letti occupati 8/28, coda attesa 0
Giorno 3, ospedale 1061800, specialità 60, ricoveri 0/1, letti occupati 1/10, coda attesa 0
Giorno 3, ospedale 1061800, specialità 37, ricoveri 0/7, letti occupati 0/14, coda attesa 0
Giorno 3, ospedale 1061800, specialità 9, ricoveri 0/16, letti occupati 0/44, coda attesa 0
Giorno 3, ospedale 1061800, specialità 8, ricoveri 0/1, letti occupati 0/4, coda attesa 0
Giorno 3, ospedale 1062100, specialità 56, ricoveri 0/9, letti occupati 24/129, coda attesa 0
Giorno 3, ospedale 1062100, specialità 60, ricoveri 0/2, letti occupati 4/20, coda attesa 0
Giorno 3, ospedale 1062200, specialità 60, ricoveri 1/6, letti occupati 13/86, coda attesa 0
Giorno 3, ospedale 1062200, specialità 56, ricoveri 0/5, letti occupati 2/54, coda attesa 0
Giorno 3, ospedale 1062300, specialità 56, ricoveri 0/9, letti occupati 18/154, coda attesa 0
Giorno 3, ospedale 1062600, specialità 56, ricoveri 0/6, letti occupati 2/44, coda attesa 0
Giorno 3, ospedale 1062600, specialità 36, ricoveri 0/9, letti occupati 0/25, coda attesa 0
Giorno 3, ospedale 1062600, specialità 43, ricoveri 0/10, letti occupati 0/24, coda attesa 0
Giorno 3, ospedale 1062600, specialità 9, ricoveri 0/7, letti occupati 0/32, coda attesa 0
Giorno 3, ospedale 1062600, specialità 26, ricoveri 0/1, letti occupati 0/6, coda attesa 0
Giorno 3, ospedale 1062600, specialità 34, ricoveri 0/4, letti occupati 0/7, coda attesa 0
Giorno 3, ospedale 1062600, specialità 37, ricoveri 0/3, letti occupati 0/12, coda attesa 0
Giorno 3, ospedale 1062800, specialità 7, ricoveri 2/5, letti occupati 3/22, coda attesa 0
Giorno 3, ospedale 1062800, specialità 26, ricoveri 0/1, letti occupati 1/7, coda attesa 0
Giorno 3, ospedale 1062800, specialità 30, ricoveri 0/7, letti occupati 0/11, coda attesa 0
Giorno 3, ospedale 1062800, specialità 8, ricoveri 0/5, letti occupati 1/20, coda attesa 0
Giorno 3, ospedale 1062800, specialità 34, ricoveri 0/1, letti occupati 0/5, coda attesa 0
Giorno 3, ospedale 1062800, specialità 36, ricoveri 0/20, letti occupati 0/37, coda attesa 0
Giorno 3, ospedale 1062800, specialità 9, ricoveri 0/4, letti occupati 0/14, coda attesa 0
Giorno 3, ospedale 1062900, specialità 56, ricoveri 1/9, letti occupati 24/134, coda attesa 0
Giorno 3, ospedale 1062900, specialità 60, ricoveri 0/6, letti occupati 17/129, coda attesa 0
Giorno 3, ospedale 1063200, specialità 43, ricoveri 0/1, letti occupati 0/17, coda attesa 0
Giorno 3, ospedale 1063200, specialità 60, ricoveri 0/3, letti occupati 1/26, coda attesa 0
Giorno 3, ospedale 1063200, specialità 34, ricoveri 0/3, letti occupati 0/3, coda attesa 0
Giorno 3, ospedale 1063200, specialità 38, ricoveri 0/10, letti occupati 0/14, coda attesa 0
Giorno 3, ospedale 1063200, specialità 56, ricoveri 0/2, letti occupati 1/31, coda attesa 0
Giorno 3, ospedale 1063200, specialità 26, ricoveri 0/1, letti occupati 0/5, coda attesa 0
Giorno 3, ospedale 1063200, specialità 9, ricoveri 0/6, letti occupati 0/12, coda attesa 0
Giorno 3, ospedale 1063200, specialità 36, ricoveri 0/11, letti occupati 0/34, coda attesa 0
Giorno 3, ospedale 1063200, specialità 99, ricoveri 0/29, letti occupati 0/37, coda attesa 0
Giorno 3, ospedale 1063200, specialità 14, ricoveri 0/1, letti occupati 0/2, coda attesa 0
Giorno 3, ospedale 1064000, specialità 75, ricoveri 1/1, letti occupati 4/17, coda attesa 13
Giorno 3, ospedale 1064000, specialità 36, ricoveri 0/22, letti occupati 0/29, coda attesa 0
Giorno 3, ospedale 1064000, specialità 9, ricoveri 0/7, letti occupati 0/10, coda attesa 0
Giorno 3, ospedale 1064000, specialità 32, ricoveri 0/3, letti occupati 0/15, coda attesa 0
Giorno 3, ospedale 1064000, specialità 99, ricoveri 0/0, letti occupati 0/26, coda attesa 0
Giorno 3, ospedale 1064000, specialità 56, ricoveri 0/7, letti occupati 2/58, coda attesa 0
Giorno 3, ospedale 1064000, specialità 60, ricoveri 0/2, letti occupati 3/18, coda attesa 0
Giorno 3, ospedale 1064000, specialità 26, ricoveri 0/2, letti occupati 0/8, coda attesa 0
Giorno 3, ospedale 1064100, specialità 56, ricoveri 0/5, letti occupati 9/36, coda attesa 0
Giorno 3, ospedale 1064100, specialità 26, ricoveri 0/2, letti occupati 1/10, coda attesa 0
Giorno 3, ospedale 1064100, specialità 36, ricoveri 0/15, letti occupati 0/32, coda attesa 0
Giorno 3, ospedale 1064100, specialità 9, ricoveri 0/12, letti occupati 0/17, coda attesa 0
Giorno 3, ospedale 1064200, specialità 60, ricoveri 0/2, letti occupati 1/18, coda attesa 0
Giorno 3, ospedale 1064200, specialità 37, ricoveri 0/7, letti occupati 0/10, coda attesa 0
Giorno 3, ospedale 1064200, specialità 34, ricoveri 0/0, letti occupati 0/26, coda attesa 0
Giorno 3, ospedale 1064200, specialità 26, ricoveri 0/4, letti occupati 4/17, coda attesa 0
Giorno 3, ospedale 1064200, specialità 36, ricoveri 0/11, letti occupati 0/22, coda attesa 0
Giorno 3, ospedale 1064200, specialità 9, ricoveri 0/3, letti occupati 0/14, coda attesa 0
Giorno 3, ospedale 1064300, specialità 36, ricoveri 0/13, letti occupati 0/20, coda attesa 0
Giorno 3, ospedale 1064300, specialità 9, ricoveri 0/4, letti occupati 1/10, coda attesa 0
Giorno 3, ospedale 1064300, specialità 43, ricoveri 0/3, letti occupati 0/20, coda attesa 0
Giorno 3, ospedale 1064300, specialità 34, ricoveri 0/0, letti occupati 0/1, coda attesa 0
Giorno 3, ospedale 1064300, specialità 8, ricoveri 0/12, letti occupati 5/33, coda attesa 0
Giorno 3, ospedale 1064300, specialità 26, ricoveri 0/2, letti occupati 6/13, coda attesa 0
Giorno 3, ospedale 1064300, specialità 7, ricoveri 0/1, letti occupati 2/7, coda attesa 0
Giorno 3, ospedale 1064600, specialità 56, ricoveri 0/3, letti occupati 3/50, coda attesa 0
Giorno 3, ospedale 1064600, specialità 60, ricoveri 0/5, letti occupati 7/102, coda attesa 0
Giorno 3, ospedale 1064700, specialità 56, ricoveri 0/6, letti occupati 11/62, coda attesa 0
Giorno 3, ospedale 1064900, specialità 34, ricoveri 0/1, letti occupati 0/9, coda attesa 0
Giorno 3, ospedale 1064900, specialità 26, ricoveri 0/5, letti occupati 1/17, coda attesa 0
Giorno 3, ospedale 1064900, specialità 56, ricoveri 0/4, letti occupati 2/29, coda attesa 0
Giorno 3, ospedale 1064900, specialità 9, ricoveri 0/10, letti occupati 3/16, coda attesa 0
Giorno 3, ospedale 1064900, specialità 36, ricoveri 0/6, letti occupati 0/10, coda attesa 0
Giorno 3, ospedale 1065300, specialità 99, ricoveri 0/11, letti occupati 0/15, coda attesa 0
Giorno 3, ospedale 1065500, specialità 14, ricoveri 0/3, letti occupati 0/20, coda attesa 0
Giorno 3, ospedale 1065500, specialità 8, ricoveri 0/8, letti occupati 0/17, coda attesa 0
Giorno 3, ospedale 1065500, specialità 26, ricoveri 0/0, letti occupati 0/2, coda attesa 0
Giorno 3, ospedale 1065500, specialità 9, ricoveri 0/5, letti occupati 0/5, coda attesa 0
Giorno 3, ospedale 1065500, specialità 38, ricoveri 0/0, letti occupati 0/9, coda attesa 0
Giorno 3, ospedale 1065500, specialità 36, ricoveri 0/19, letti occupati 0/43, coda attesa 0
Giorno 3, ospedale 1065500, specialità 43, ricoveri 0/7, letti occupati 0/18, coda attesa 0
Giorno 3, ospedale 1065500, specialità 34, ricoveri 0/10, letti occupati 0/10, coda attesa 0
Giorno 3, ospedale 1065600, specialità 43, ricoveri 0/3, letti occupati 0/30, coda attesa 0
Giorno 3, ospedale 1065600, specialità 26, ricoveri 0/2, letti occupati 1/8, coda attesa 0
Giorno 3, ospedale 1065600, specialità 36, ricoveri 0/16, letti occupati 0/23, coda attesa 0
Giorno 3, ospedale 1065600, specialità 56, ricoveri 0/3, letti occupati 2/22, coda attesa 0
Giorno 3, ospedale 1065600, specialità 8, ricoveri 0/2, letti occupati 0/6, coda attesa 0
Giorno 3, ospedale 1065600, specialità 9, ricoveri 0/6, letti occupati 0/7, coda attesa 0
Giorno 3, ospedale 1065600, specialità 60, ricoveri 0/0, letti occupati 0/1, coda attesa 0
Giorno 3, ospedale 1065700, specialità 56, ricoveri 0/7, letti occupati 4/88, coda attesa 0
Giorno 3, ospedale 1066100, specialità 99, ricoveri 0/3, letti occupati 0/20, coda attesa 0
Giorno 3, ospedale 1088200, specialità 64, ricoveri 0/4, letti occupati 8/29, coda attesa 0
Giorno 3, ospedale 1088200, specialità 99, ricoveri 0/12, letti occupati 0/16, coda attesa 0
Giorno 3, ospedale 1088200, specialità 49, ricoveri 0/1, letti occupati 0/1, coda attesa 0
Giorno 3, ospedale 1088200, specialità 9, ricoveri 1/5, letti occupati 4/21, coda attesa 0
Giorno 3, ospedale 1088200, specialità 37, ricoveri 0/2, letti occupati 3/12, coda attesa 0
Giorno 3, ospedale 1088200, specialità 2, ricoveri 0/43, letti occupati 71/529, coda attesa 0
Giorno 3, ospedale 1089100, specialità 56, ricoveri 0/10, letti occupati 19/204, coda attesa 0
Giorno 3, ospedale 1089100, specialità 60, ricoveri 0/5, letti occupati 3/37, coda attesa 0
Giorno 3, ospedale 1089200, specialità 99, ricoveri 0/17, letti occupati 0/17, coda attesa 0
Giorno 3, ospedale 1089200, specialità 56, ricoveri 0/1, letti occupati 0/15, coda attesa 0
Giorno 3, ospedale 1089200, specialità 26, ricoveri 1/7, letti occupati 16/64, coda attesa 0
Giorno 3, ospedale 1089200, specialità 9, ricoveri 0/8, letti occupati 4/21, coda attesa 0
Giorno 3, ospedale 1089200, specialità 36, ricoveri 0/6, letti occupati 3/13, coda attesa 0
Giorno 3, ospedale 1089200, specialità 43, ricoveri 0/9, letti occupati 5/20, coda attesa 0
Giorno 3, ospedale 1089200, specialità 34, ricoveri 0/9, letti occupati 1/11, coda attesa 0
Giorno 3, ospedale 1089200, specialità 67, ricoveri 0/3, letti occupati 0/7, coda attesa 0
Giorno 3, ospedale 1089200, specialità 64, ricoveri 0/14, letti occupati 54/220, coda attesa 0
Giorno 3, ospedale 1089200, specialità 38, ricoveri 0/4, letti occupati 0/8, coda attesa 0
Giorno 3, ospedale 1089200, specialità 58, ricoveri 0/3, letti occupati 0/14, coda attesa 0
Giorno 3, ospedale 1089300, specialità 56, ricoveri 0/11, letti occupati 35/209, coda attesa 0
Giorno 3, ospedale 1089700, specialità 9, ricoveri 0/3, letti occupati 0/13, coda attesa 0
Giorno 3, ospedale 1089700, specialità 34, ricoveri 0/0, letti occupati 0/3, coda attesa 0
Giorno 3, ospedale 1089700, specialità 2, ricoveri 0/27, letti occupati 0/34, coda attesa 0
Giorno 3, ospedale 1089700, specialità 38, ricoveri 0/2, letti occupati 0/3, coda attesa 0
Giorno 3, ospedale 1089700, specialità 60, ricoveri 0/3, letti occupati 2/19, coda attesa 0
Giorno 3, ospedale 1089700, specialità 56, ricoveri 0/2, letti occupati 3/23, coda attesa 0
Giorno 3, ospedale 1089700, specialità 37, ricoveri 0/2, letti occupati 0/12, coda attesa 0
Giorno 3, ospedale 1089700, specialità 26, ricoveri 0/6, letti occupati 12/42, coda attesa 0
Giorno 3, ospedale 1089700, specialità 43, ricoveri 0/6, letti occupati 0/15, coda attesa 0
Giorno 3, ospedale 1089700, specialità 64, ricoveri 0/6, letti occupati 28/128, coda attesa 0
Giorno 3, ospedale 1089700, specialità 36, ricoveri 0/3, letti occupati 1/19, coda attesa 0
Giorno 3, ospedale 1090101, specialità 38, ricoveri 1/17, letti occupati 3/36, coda attesa 0
Giorno 3, ospedale 1090101, specialità 21, ricoveri 3/8, letti occupati 9/51, coda attesa 0
Giorno 3, ospedale 1090101, specialità 32, ricoveri 2/9, letti occupati 21/65, coda attesa 0
Giorno 3, ospedale 1090101, specialità 8, ricoveri 1/11, letti occupati 3/35, coda attesa 0
Giorno 3, ospedale 1090101, specialità 71, ricoveri 0/4, letti occupati 9/51, coda attesa 0
Giorno 3, ospedale 1090101, specialità 10, ricoveri 0/4, letti occupati 2/15, coda attesa 0
Giorno 3, ospedale 1090101, specialità 30, ricoveri 1/6, letti occupati 6/32, coda attesa 0
Giorno 3, ospedale 1090101, specialità 49, ricoveri 1/4, letti occupati 2/24, coda attesa 0
Giorno 3, ospedale 1090101, specialità 18, ricoveri 4/14, letti occupati 55/239, coda attesa 0
Giorno 3, ospedale 1090101, specialità 13, ricoveri 0/3, letti occupati 3/19, coda attesa 0
Giorno 3, ospedale 1090101, specialità 29, ricoveri 2/4, letti occupati 5/18, coda attesa 0
Giorno 3, ospedale 1090101, specialità 1, ricoveri 0/3, letti occupati 1/17, coda attesa 0
Giorno 3, ospedale 1090101, specialità 35, ricoveri 0/8, letti occupati 0/8, coda attesa 0
Giorno 3, ospedale 1090101, specialità 26, ricoveri 16/30, letti occupati 83/273, coda attesa 0
Giorno 3, ospedale 1090101, specialità 14, ricoveri 1/8, letti occupati 5/37, coda attesa 0
Giorno 3, ospedale 1090101, specialità 48, ricoveri 1/4, letti occupati 6/20, coda attesa 0
Giorno 3, ospedale 1090101, specialità 12, ricoveri 0/0, letti occupati 0/1, coda attesa 0
Giorno 3, ospedale 1090101, specialità 7, ricoveri 0/6, letti occupati 1/26, coda attesa 0
Giorno 3, ospedale 1090101, specialità 50, ricoveri 2/6, letti occupati 10/24, coda attesa 0
Giorno 3, ospedale 1090101, specialità 36, ricoveri 0/7, letti occupati 3/24, coda attesa 0
Giorno 3, ospedale 1090101, specialità 70, ricoveri 0/2, letti occupati 3/12, coda attesa 0
Giorno 3, ospedale 1090101, specialità 43, ricoveri 2/23, letti occupati 9/60, coda attesa 0
Giorno 3, ospedale 1090101, specialità 68, ricoveri 0/3, letti occupati 9/27, coda attesa 0
Giorno 3, ospedale 1090101, specialità 58, ricoveri 2/14, letti occupati 10/63, coda attesa 0
Giorno 3, ospedale 1090101, specialità 64, ricoveri 1/32, letti occupati 176/567, coda attesa 0
Giorno 3, ospedale 1090101, specialità 97, ricoveri 1/3, letti occupati 2/17, coda attesa 0
Giorno 3, ospedale 1090101, specialità 40, ricoveri 1/8, letti occupati 18/43, coda attesa 0
Giorno 3, ospedale 1090101, specialità 9, ricoveri 2/36, letti occupati 36/151, coda attesa 0
Giorno 3, ospedale 1090101, specialità 19, ricoveri 0/6, letti occupati 9/40, coda attesa 0
Giorno 3, ospedale 1090101, specialità 67, ricoveri 1/8, letti occupati 1/18, coda attesa 0
Giorno 3, ospedale 1090102, specialità 26, ricoveri 0/1, letti occupati 0/3, coda attesa 0
Giorno 3, ospedale 1090102, specialità 52, ricoveri 1/20, letti occupati 15/69, coda attesa 0
Giorno 3, ospedale 1090102, specialità 12, ricoveri 0/8, letti occupati 2/17, coda attesa 0
Giorno 3, ospedale 1090102, specialità 29, ricoveri 0/0, letti occupati 0/1, coda attesa 0
Giorno 3, ospedale 1090102, specialità 38, ricoveri 0/0, letti occupati 0/1, coda attesa 0
Giorno 3, ospedale 1090102, specialità 30, ricoveri 0/1, letti occupati 0/1, coda attesa 0
Giorno 3, ospedale 1090201, specialità 19, ricoveri 0/1, letti occupati 0/8, coda attesa 0
Giorno 3, ospedale 1090201, specialità 4, ricoveri 0/5, letti occupati 0/13, coda attesa 0
Giorno 3, ospedale 1090201, specialità 36, ricoveri 3/29, letti occupati 25/129, coda attesa 0
Giorno 3, ospedale 1090201, specialità 29, ricoveri 1/2, letti occupati 3/15, coda attesa 0
Giorno 3, ospedale 1090201, specialità 49, ricoveri 0/7, letti occupati 4/47, coda attesa 0
Giorno 3, ospedale 1090201, specialità 8, ricoveri 1/4, letti occupati 3/13, coda attesa 0
Giorno 3, ospedale 1090201, specialità 30, ricoveri 1/5, letti occupati 5/20, coda attesa 0
Giorno 3, ospedale 1090201, specialità 25, ricoveri 0/3, letti occupati 2/16, coda attesa 0
Giorno 3, ospedale 1090201, specialità 12, ricoveri 0/12, letti occupati 5/31, coda attesa 0
Giorno 3, ospedale 1090201, specialità 56, ricoveri 0/1, letti occupati 0/11, coda attesa 0
Giorno 3, ospedale 1090201, specialità 47, ricoveri 0/1, letti occupati 0/6, coda attesa 0
Giorno 3, ospedale 1090201, specialità 28, ricoveri 0/8, letti occupati 10/76, coda attesa 0
Giorno 3, ospedale 1090201, specialità 9, ricoveri 1/5, letti occupati 1/18, coda attesa 0
Giorno 3, ospedale 1090201, specialità 99, ricoveri 0/11, letti occupati 0/11, coda attesa 0
Giorno 3, ospedale 1090201, specialità 67, ricoveri 0/3, letti occupati 0/6, coda attesa 0
Giorno 3, ospedale 1090201, specialità 75, ricoveri 1/1, letti occupati 4/9, coda attesa 3
Giorno 3, ospedale 1090203, specialità 56, ricoveri 0/6, letti occupati 0/26, coda attesa 0
Giorno 3, ospedale 1090203, specialità 49, ricoveri 0/7, letti occupati 0/12, coda attesa 0
Giorno 3, ospedale 1090203, specialità 36, ricoveri 1/9, letti occupati 3/31, coda attesa 0
Giorno 3, ospedale 1090203, specialità 43, ricoveri 0/7, letti occupati 6/34, coda attesa 0
Giorno 3, ospedale 1090203, specialità 67, ricoveri 0/1, letti occupati 0/2, coda attesa 0
Giorno 3, ospedale 1090203, specialità 8, ricoveri 0/1, letti occupati 0/2, coda attesa 0
Giorno 3, ospedale 1090301, specialità 31, ricoveri 0/1, letti occupati 0/5, coda attesa 0
Giorno 3, ospedale 1090301, specialità 62, ricoveri 0/1, letti occupati 0/3, coda attesa 0
Giorno 3, ospedale 1090301, specialità 73, ricoveri 0/1, letti occupati 0/1, coda attesa 0
Giorno 3, ospedale 1090301, specialità 49, ricoveri 0/0, letti occupati 0/1, coda attesa 0
Giorno 3, ospedale 1090301, specialità 37, ricoveri 21/71, letti occupati 84/219, coda attesa 0
Giorno 3, ospedale 1090301, specialità 67, ricoveri 1/3, letti occupati 5/9, coda attesa 0
Giorno 3, ospedale 1090301, specialità 64, ricoveri 0/15, letti occupati 19/116, coda attesa 0
Giorno 3, ospedale 1090302, specialità 58, ricoveri 0/9, letti occupati 1/20, coda attesa 0
Giorno 3, ospedale 1090302, specialità 62, ricoveri 1/3, letti occupati 1/11, coda attesa 0
Giorno 3, ospedale 1090302, specialità 18, ricoveri 0/2, letti occupati 1/19, coda attesa 0
Giorno 3, ospedale 1090302, specialità 1, ricoveri 0/5, letti occupati 0/5, coda attesa 0
Giorno 3, ospedale 1090302, specialità 33, ricoveri 0/6, letti occupati 0/36, coda attesa 0
Giorno 3, ospedale 1090302, specialità 4, ricoveri 0/1, letti occupati 0/8, coda attesa 0
Giorno 3, ospedale 1090302, specialità 49, ricoveri 0/2, letti occupati 1/13, coda attesa 0
Giorno 3, ospedale 1090302, specialità 36, ricoveri 0/4, letti occupati 3/9, coda attesa 0
Giorno 3, ospedale 1090302, specialità 19, ricoveri 0/10, letti occupati 0/12, coda attesa 0
Giorno 3, ospedale 1090302, specialità 77, ricoveri 0/2, letti occupati 3/11, coda attesa 0
Giorno 3, ospedale 1090302, specialità 76, ricoveri 0/4, letti occupati 0/12, coda attesa 0
Giorno 3, ospedale 1090302, specialità 73, ricoveri 0/0, letti occupati 0/1, coda attesa 0
Giorno 3, ospedale 1090302, specialità 48, ricoveri 0/0, letti occupati 0/1, coda attesa 0
Giorno 3, ospedale 1090302, specialità 68, ricoveri 0/5, letti occupati 2/12, coda attesa 0
Giorno 3, ospedale 1090302, specialità 65, ricoveri 7/12, letti occupati 14/66, coda attesa 0
Giorno 3, ospedale 1090302, specialità 99, ricoveri 0/13, letti occupati 0/19, coda attesa 0
Giorno 3, ospedale 1090302, specialità 8, ricoveri 0/2, letti occupati 0/9, coda attesa 0
Giorno 3, ospedale 1090302, specialità 67, ricoveri 0/1, letti occupati 0/3, coda attesa 0
Giorno 3, ospedale 1090302, specialità 11, ricoveri 0/4, letti occupati 1/16, coda attesa 0
Giorno 3, ospedale 1090302, specialità 46, ricoveri 0/1, letti occupati 0/6, coda attesa 0
Giorno 3, ospedale 1090302, specialità 24, ricoveri 0/6, letti occupati 3/36, coda attesa 0
Giorno 3, ospedale 1090302, specialità 6, ricoveri 0/3, letti occupati 0/6, coda attesa 0
Giorno 3, ospedale 1090302, specialità 39, ricoveri 1/13, letti occupati 9/52, coda attesa 0
Giorno 3, ospedale 1090302, specialità 78, ricoveri 0/3, letti occupati 1/10, coda attesa 0
Giorno 3, ospedale 1090302, specialità 38, ricoveri 0/3, letti occupati 0/6, coda attesa 0
Giorno 3, ospedale 1090400, specialità 26, ricoveri 4/10, letti occupati 17/85, coda attesa 0
Giorno 3, ospedale 1090400, specialità 49, ricoveri 0/1, letti occupati 0/7, coda attesa 0
Giorno 3, ospedale 1090400, specialità 36, ricoveri 5/6, letti occupati 13/25, coda attesa 0
Giorno 3, ospedale 1090400, specialità 35, ricoveri 0/2, letti occupati 0/3, coda attesa 0
Giorno 3, ospedale 1090400, specialità 43, ricoveri 0/7, letti occupati 5/27, coda attesa 0
Giorno 3, ospedale 1090400, specialità 99, ricoveri 0/24, letti occupati 0/41, coda attesa 0
Giorno 3, ospedale 1090400, specialità 34, ricoveri 0/1, letti occupati 0/3, coda attesa 0
Giorno 3, ospedale 1090400, specialità 64, ricoveri 0/3, letti occupati 1/9, coda attesa 0
Giorno 3, ospedale 1090400, specialità 68, ricoveri 2/7, letti occupati 13/52, coda attesa 0
Giorno 3, ospedale 1090400, specialità 60, ricoveri 0/2, letti occupati 2/12, coda attesa 0
Giorno 3, ospedale 1090400, specialità 9, ricoveri 0/5, letti occupati 4/22, coda attesa 0
Giorno 3, ospedale 1090400, specialità 75, ricoveri 0/1, letti occupati 0/9, coda attesa 0
Giorno 3, ospedale 1090400, specialità 2, ricoveri 0/52, letti occupati 193/970, coda attesa 0
Giorno 3, ospedale 1090400, specialità 40, ricoveri 0/4, letti occupati 3/14, coda attesa 0
Giorno 3, ospedale 1090400, specialità 58, ricoveri 0/3, letti occupati 1/10, coda attesa 0
Giorno 3, ospedale 1090400, specialità 32, ricoveri 1/6, letti occupati 6/25, coda attesa 0
Giorno 3, ospedale 1090400, specialità 50, ricoveri 1/3, letti occupati 3/12, coda attesa 0
Giorno 3, ospedale 1090400, specialità 21, ricoveri 1/5, letti occupati 6/25, coda attesa 0
Giorno 3, ospedale 1090400, specialità 37, ricoveri 0/0, letti occupati 0/2, coda attesa 0
Giorno 3, ospedale 1090400, specialità 67, ricoveri 0/1, letti occupati 0/3, coda attesa 0
Giorno 3, ospedale 1090400, specialità 13, ricoveri 0/4, letti occupati 3/20, coda attesa 0
